게임이름,게임순위,총 평가,긍정적인 평가 비율,출시일,앞서 해보기 출시 일자,app_id
White Lavender,1482,205,92,"21 Jun, 2022",,1975670
UndercoverAgent,1483,912,81,"10 Jul, 2021",,1648590
Monmusu Gladiator,1484,167,95,"15 Jul, 2021",,1660290
FAREWELL SEN,1485,163,94,"29 Oct, 2022",,2025650
Lunar Mirror:The Pavilion of Desire,1486,1158,82,"4 Mar, 2023",,2157680
Slay the Minotaur,1487,175,93,"23 Feb, 2024",,2510850
To Be or Not to Be,1488,7287,89,"9 Dec, 2022",,2190290
Rainbow Billy: The Curse of the Leviathan,1489,133,91,"5 Oct, 2021",,1106830
Frogsong,1490,168,95,"11 Jun, 2023",,1281860
Soda Dungeon,1491,6158,94,"7 Feb, 2017",,564710
STORY OF SEASONS: Friends of Mineral Town,1492,4858,93,"15 Jul, 2020",,978780
Leanna's Slice of Life,1493,744,82,"8 Mar, 2019",,1013870
Coridden,1494,301,89,"30 Jan, 2025",,1656930
RaiOhGar: Asuka and the King of Steel,1495,305,82,"15 May, 2020",,1163070
Tomoyo After ~It's a Wonderful Life~ English Edition,1496,599,90,"2 Jul, 2016",,462990
Penny Arcade's On the Rain-Slick Precipice of Darkness 4,1497,362,80,,,237570
Metal Unit,1498,1968,81,"28 Jan, 2021","4 Feb, 2020",1173200
Summoner,1499,428,85,"19 Mar, 2001",,275570
Barbaria,1500,130,94,"10 Feb, 2023","3 Jun, 2022",1984610
9th Dawn Remake,1501,453,86,"26 Sep, 2024",,1550180
Asyula 方舟之链,1502,238,88,"9 Aug, 2017",,689070
Deathtrap,1503,1783,84,"4 Feb, 2015",,310510
JUMP KING QUEST,1504,442,84,"13 Feb, 2025","13 Feb, 2025",2317640
Space Prison,1505,199,84,"19 Jul, 2024",,1865930
Project Morpheus: Prologue,1506,533,81,"15 Jan, 2021",,1414430
Dimensionals,1507,420,85,"29 Apr, 2025","19 Nov, 2024",2856450
Lelie Navigation!,1508,271,87,"4 Dec, 2021",,1279260
MEGA MAN X DiVE Offline,1509,1422,81,"1 Sep, 2023",,2183650
Rival Stars Horse Racing: Desktop Edition,1510,4069,93,"25 Jun, 2020",,1166860
Re:BF,1511,241,80,"12 Mar, 2022",,1770400
Sect And Monsters,1512,133,80,"25 Jan, 2024",,2752530
Forever Home,1513,158,91,"1 Nov, 2017",,718200
Sakura Hime,1514,1307,92,"15 Oct, 2021",,1732740
Fight School Simulator,1515,164,90,"19 Feb, 2025","8 Oct, 2024",2884190
Risen 2: Dark Waters,1516,3204,80,"27 Apr, 2012",,40390
State of Decay,1517,15348,84,"6 Nov, 2013",,241540
Septerra Core,1518,550,82,"31 Oct, 1999",,253940
Potionomics,1519,6331,90,"18 Oct, 2022",,1874490
猎魔战纪,1520,251,88,"25 May, 2022",,1986310
Illusion,1521,178,90,"1 Mar, 2022",,1875610
Craft Hero,1522,348,82,"10 Oct, 2022","1 Apr, 2022",1882040
Sector Six,1523,218,94,"8 Sep, 2018",,465020
"Command & Conquer Red Alert™, Counterstrike™ and The Aftermath™",1524,261,82,"8 Mar, 2024",,2229840
Corpse Party: Book of Shadows,1525,426,87,"30 Oct, 2018",,778390
晨昏线,1526,408,82,"7 Feb, 2025",,2461050
In Woods,1527,143,86,"20 Aug, 2024","23 Nov, 2022",2113770
Hob,1528,4384,88,"27 Sep, 2017",,404680
THE LONGING,1529,6316,92,"5 Mar, 2020",,893850
Karnage Chronicles,1530,1174,85,"31 Jul, 2020",,611160
Wizzerd Quest,1531,115,95,"24 Feb, 2024",,2785800
Reality Break,1532,512,83,"10 Feb, 2025",,1473060
Space Rangers HD: A War Apart,1533,5335,93,"18 Oct, 2013",,214730
挂姬恶魔 IDLE DEVILS,1534,1113,80,"30 Jan, 2024","25 Jun, 2023",2226700
Divided Reigns,1535,121,88,"3 Apr, 2021",,1139160
RPG Time: The Legend of Wright,1536,363,87,"13 Sep, 2022",,1839510
Magical Diary: Wolf Hall,1537,170,89,"18 Feb, 2020",,974910
Fighting Fantasy Classics,1538,318,80,"6 Jun, 2018",,856880
Elewar: Fused Survivors,1539,190,94,"22 Aug, 2024","4 Nov, 2023",2489560
DOKA 2 KISHKI EDITION,1540,3200,84,"6 Nov, 2018",,967250
Windward,1541,2650,80,"12 May, 2015",,326410
Littlewood,1542,5957,93,"4 Aug, 2020","18 Jun, 2019",894940
Strife: Veteran Edition,1543,428,92,"31 May, 1996",,317040
Z.O.N.A: Origin,1544,224,87,"27 Aug, 2024","27 Aug, 2024",2539520
Vengeful Rites,1545,252,94,"30 Jul, 2021","10 Nov, 2018",755410
Knuckle Sandwich,1546,486,86,"23 Nov, 2023",,1012570
Nexomon,1547,1597,89,"11 Jul, 2020","29 Nov, 2019",1191580
200% Mixed Juice!,1548,275,86,"24 Oct, 2015",,335190
The Metronomicon: Slay The Dance Floor,1549,274,86,"29 Sep, 2016",,416790
BLUE REFLECTION: Second Light,1550,891,81,"9 Nov, 2021",,1423600
My Friend Stalin,1551,429,90,"19 Jun, 2021",,1553910
Cardpocalypse,1552,176,88,"13 Oct, 2020",,904400
A Night Filled With the Sound of Rain,1553,334,90,"3 May, 2025",,3556740
Heroes of a Broken Land,1554,179,87,"8 Aug, 2014",,314470
人类动物园 Human Zoo,1555,130,90,"25 Dec, 2023","27 Oct, 2022",2181640
Shotgun Legend,1556,875,89,"16 Jan, 2018",,597230
Hero and Daughter+,1557,226,88,"19 Feb, 2016",,271970
Super Chibi Knight,1558,374,86,"24 Jun, 2015",,283080
Nexomon: Extinction,1559,2943,91,"28 Aug, 2020",,1196630
Choo Choo Survivor,1560,511,86,"27 Jun, 2023",,2336200
Disc Creatures,1561,198,82,"17 Oct, 2019",,1083190
Diary of Lucie,1562,412,87,"24 Feb, 2023","25 Nov, 2020",1454010
Stickman Strikes: Conquer Fantasy World,1563,396,80,"1 May, 2025",,2924170
Dragon Spirits,1564,255,86,"25 Apr, 2023",,1074190
Drox Operative,1565,270,88,"29 Nov, 2012",,274480
Illegal Mahjong,1566,118,84,"12 Jan, 2024",,2607320
Rollers of the Realm,1567,367,90,"18 Nov, 2014",,262470
Angels of Death,1568,4590,94,"20 Dec, 2016",,537110
Archons,1569,217,95,"7 Dec, 2024",,2779570
Dusk Diver 酉閃町,1570,539,86,"24 Oct, 2019","26 Mar, 2019",911220
Ghostlore,1571,613,80,"18 May, 2023","15 Apr, 2022",1783280
How to Survive,1572,13916,82,"23 Oct, 2013",,250400
Chess Survivors,1573,131,89,"1 Sep, 2023","10 Nov, 2022",2065000
Into the Necrovale,1574,515,87,"1 Oct, 2024","27 Jan, 2024",1717090
Valdis Story: Abyssal City,1575,2258,83,"8 Sep, 2013",,252030
Long Live The Queen,1576,5713,94,"9 Nov, 2013",,251990
Record of Lodoss War-Deedlit in Wonder Labyrinth-,1577,6437,92,"27 Mar, 2021","12 Mar, 2020",1203630
Annie and the Art Gallery,1578,169,85,"13 Apr, 2022",,1887330
HunterX,1579,617,82,"29 Apr, 2022",,1918450
完美恋人~fragile love,1580,171,85,"12 Aug, 2024",,2773520
Pocket Rogues,1581,453,89,"25 Oct, 2018",,946610
DunHero,1582,396,89,"13 Feb, 2024","13 Feb, 2024",2270210
The Vagrant,1583,7865,89,"13 Jul, 2018",,598700
Rebirth! New Lover,1584,391,83,"7 Aug, 2024",,2803810
HEARTBEAT,1585,538,86,"12 Dec, 2018",,984560
Active DBG: Brave's Rage,1586,215,83,"2 Feb, 2023","22 Apr, 2022",1124080
Unexplored,1587,556,89,"22 Feb, 2017",,506870
Alicemare,1588,1039,88,"22 Nov, 2016",,524850
The Lord of the Rings: Return to Moria™,1589,6983,82,"28 Aug, 2024",,2933130
Transcendence,1590,199,87,"25 Jul, 2015",,364510
Märchen Forest: Mylne and the Forest Gift [Legacy ver.],1591,375,81,"17 May, 2018",,842810
Nienix: Cosmic Warfare,1592,319,86,"25 Mar, 2023","29 Jan, 2022",1332760
Drox Operative 2,1593,248,90,"21 Oct, 2021","2 Jun, 2020",1305310
Super Cane Magic ZERO - Legend of the Cane Cane,1594,356,88,"30 May, 2019",,336440
Hakoniwa Explorer Plus,1595,508,83,"6 Jun, 2018",,705280
Dragon Is Dead,1596,317,81,"7 Jun, 2024","7 Jun, 2024",2803280
The Passenger,1597,111,90,"30 Dec, 2022",,2162160
Defeated Girl,1598,369,83,"1 Oct, 2020",,1205260
Sword and Fairy 3 Ex,1599,461,81,"6 Aug, 2004",,1536080
It Lurks Below,1600,1117,83,"30 May, 2019",,697550
