game_appid,game_name,total_review,total_review_positive,eng_review,eng_review_positive,released_date,early_access_release_date
1403370,Zenith: The Last City,4489,67,3527,65,20220127000000,20220127000000
1179680,Wurm Online,2329,62,1670,61,20121212000000,
1832040,Flintlock: The Siege of Dawn,795,75,557,77,20240717000000,
294370,Crowntakers,381,75,402,67,20141107000000,
552700,WORLD OF FINAL FANTASY,2712,77,1597,75,20171121000000,
662210,Metal as Phuk,232,95,231,95,20170713000000,
289090,Ampu-Tea,814,67,908,55,20140530000000,
1952370,Oblivion Override,1601,90,505,95,20240124000000,20230613000000
2321210,Neon Echo,3511,57,340,58,20230420000000,20230420000000
575720,Mighty Party,2481,58,755,46,20170330000000,
1088090,Day of Dragons,5777,69,5309,65,20191204000000,20191204000000
377530,侠客风云传(Tale of Wuxia),6218,76,607,84,20160428000000,
553210,"Warhammer 40,000: Space Wolf",1351,65,581,63,20170921000000,
237870,Planet Explorers,6812,62,3862,59,20161108000000,
910830,Rebel Galaxy Outlaw,802,66,819,62,20200922000000,
1582510,Mercenaries Blaze,533,75,206,68,20210610000000,
1599470,Purrfect Apawcalypse: Patches' Infurno,356,99,258,98,20210513000000,
1963520,Cygnus Enterprises,323,69,210,65,20231219000000,20221216000000
530560,STEAM HAMMER,445,40,250,28,20170512000000,
493080,Card Quest,314,86,278,83,20171107000000,
2089980,Extremely Powerful Capybaras,861,62,229,82,20231205000000,
673070,The Ranger: Lost Tribe,372,79,243,73,20170802000000,
1921480,#BLUD,258,78,231,80,20240618000000,
519190,Next Day: Survival,8671,62,3571,58,20180521000000,
415030,One More Dungeon,501,78,314,70,20151123000000,
1668290,Dungeons of Aether,562,81,512,81,20230228000000,
2221920,Immortals Fenyx Rising,3752,71,1771,71,20221216000000,
397500,Labyronia RPG 2,570,75,253,72,20150828000000,
582330,Warriors: Rise to Glory,841,78,444,89,20220120000000,20180202000000
2230980,Caribbean Legend,1748,75,760,75,20240215000000,
223410,Perpetuum,792,72,547,73,20141017000000,
213030,Penny Arcade's On the Rain-Slick Precipice of Darkness 3,583,85,486,86,20120625000000,
669950,BDSM: Big Drunk Satanic Massacre,1072,87,533,86,20191010000000,
344240,Man O' War: Corsair - Warhammer Naval Battles,752,63,585,65,20170419000000,
61500,Age of Wonders,837,78,659,76,20101012000000,
253980,Enclave,1750,75,2091,72,20030310000000,
1259000,Damascus,249,75,221,76,20200515000000,
1071140,ORX,581,71,255,71,20220830000000,20220830000000
1167750,The Lamplighters League,594,72,621,71,20231003000000,
1114070,My Child Lebensborn,1430,94,571,94,20210531000000,20200922000000
466220,Kingdom of Loot,363,52,206,47,20170414000000,
339580,Ember,893,75,760,76,20160909000000,
232450,SolForge,63,63,977,64,20160725000000,
872240,Nick Beard: The Fedora of Destiny,255,84,215,86,20180708000000,
427910,Zavix Tower,171,63,279,73,20160721000000,
459160,Allods Online,800,71,367,65,20091001000000,
1580520,Lost Eidolons,1502,71,916,67,20221013000000,
1736550,Deflector,280,87,202,87,20230324000000,20220127000000
1924400,Hand of Doom,229,89,230,89,20230516000000,
766570,Russian Fishing 4,73392,53,6270,77,20211110000000,20180615000000
600460,Dustwind,302,74,241,75,20180815000000,
317820,Guild of Dungeoneering Ultimate Edition,1687,76,1878,75,20150714000000,
1520760,Tyrant's Blessing,253,71,201,66,20220808000000,
233290,Murdered: Soul Suspect,11391,86,6509,81,20140603000000,
41700,S.T.A.L.K.E.R.: Call of Pripyat,24387,95,11394,95,20100211000000,
954870,Astrox Imperium,1141,86,986,86,20190322000000,20190322000000
944920,Nanotale - Typing Chronicles,644,78,454,76,20210331000000,20191023000000
649950,Ashen,3052,68,1796,66,20191209000000,
72850,The Elder Scrolls V: Skyrim,181198,94,173428,93,20111110000000,
1140440,OMON Simulator,2608,74,265,71,20191018000000,
1113030,Stellar Warfare,270,85,288,84,20210804000000,20210804000000
2459750,Yohane the Parhelion - NUMAZU in the MIRAGE -,478,91,211,92,20240221000000,
361230,Super Daryl Deluxe,210,90,369,86,20180410000000,
1431610,Prison Simulator: Prologue,2913,89,556,84,20210520000000,
524970,Helmet Heroes,915,53,638,52,20130310000000,
463980,Solitairica,403,78,424,75,20160531000000,
409850,Criminal Girls: Invite Only,554,77,333,75,20170111000000,
366910,The Long Journey Home,1298,57,778,50,20170530000000,
2023360,The Last Case of Benedict Fox Definitive Edition,653,71,449,71,20230427000000,
589290,Holdfast: Nations At War,22586,89,17501,90,20200305000000,
385890,Golden Rush,0,0,213,37,20150923000000,
360150,How To Survive: Third Person Standalone,1120,56,419,52,20150702000000,
375510,New kind of adventure,841,42,845,43,20150604000000,
340810,Deepworld,730,60,480,61,20150422000000,
940710,Colt Canyon,1188,90,734,87,20200616000000,
1433420,Love n War: Hero by Chance,1084,78,234,74,20210108000000,
263500,Dragons and Titans,3440,78,1326,73,20140312000000,
658980,Valnir Rok Survival RPG,689,46,516,42,20170926000000,
829590,CryoFall,4661,79,2145,73,20210429000000,20190403000000
1415220,It's Only Money,441,81,423,79,20241021000000,20230615000000
254060,KnightShift,339,76,388,63,20031231000000,
215630,Demonicon,426,68,484,67,20131024000000,
385380,Planet Centauri,1831,77,991,77,20160603000000,20160603000000
547860,Rend,1564,53,1003,51,20190329000000,20180725000000
1807810,The Axis Unseen,239,80,228,82,20241022000000,
824000,Hokko Life,1787,69,1462,65,20220927000000,20210602000000
349790,Galaxy of Pen & Paper +1,322,69,252,61,20170727000000,
1127840,Landlord's Super,1264,84,1240,82,20230525000000,20200430000000
889600,The Caligula Effect: Overdose,463,70,294,75,20190312000000,
413710,Blood and Gold: Caribbean!,1173,59,792,57,20151210000000,
